,Country,Indicator Name,Indicator Value,Year,Rank (positional),Percentile
0,China,Population,1410929362,2020,1.0,1.0
1,China,Urban Population (%),61.428,2020,112.0,0.48130841121495327
2,China,GDP (US $),14722730697890.1,2020,2.0,0.9948453608247423
3,China,GDP per capita (US $),10434.7751874839,2020,68.0,0.654639175257732
4,China,Total Exports (US $),2723250430718.18,2020,1.0,1.0
5,China,Total Imports (US $),2357105740841.64,2020,2.0,0.9939024390243902
6,China,Trade (% of GDP),34.5068878580241,2020,146.0,0.11585365853658537
7,China,Land Area (sq. km),9424702.9,2021,2.0,0.9953703703703703
8,China,Arable Land (% land area),12.678245804438,2018,85.0,0.5902439024390244
